AVERAGE RESULTS


TRANSACTION COUNT RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
------------------------------------------------------------------------------------------------------------
| transaction_count                   | 34.51                | 34.99 (+1.37%)       | 34.61 (+0.26%)       |
------------------------------------------------------------------------------------------------------------


MAX COVERAGE RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
------------------------------------------------------------------------------------------------------------
| viewMessagePayable.sol              | 50.00%               | 50.00% (0.00%)       | 50.00% (0.00%)       |
| whoDepositV3.sol                    | 18.18%               | 18.18% (0.00%)       | 18.18% (0.00%)       |
| BetBuyer.sol                        | 50.40%               | 52.80% (+4.76%)      | 53.60% (+6.35%)      |
| CryptoChamps.sol                    | 25.00%               | 25.00% (0.00%)       | 22.69% (-9.26%)      |
| Dappster.sol                        | 10.96%               | 11.76% (+7.32%)      | 10.96% (0.00%)       |
| EtherConsole.sol                    | 12.90%               | 12.90% (0.00%)       | 12.32% (-4.55%)      |
| Etheramid.sol                       | 35.54%               | 32.64% (-8.14%)      | 32.23% (-9.30%)      |
| EthronTokenPonzi.sol                | 33.98%               | 39.32% (+15.71%)     | 31.55% (-7.14%)      |
| Fermat.sol                          | 47.25%               | 47.25% (0.00%)       | 47.25% (0.00%)       |
| HFConditionalTransfer.sol           | 61.11%               | 61.11% (0.00%)       | 55.56% (-9.09%)      |
| NumberBoard.sol                     | 28.12%               | 28.12% (0.00%)       | 28.12% (0.00%)       |
| AMBROSUSFund.sol                    | 59.34%               | 61.54% (+3.70%)      | 63.74% (+7.41%)      |
| APPToken.sol                        | 38.24%               | 45.88% (+20.00%)     | 43.53% (+13.85%)     |
| AddressLotteryV2.sol                | 63.79%               | 60.34% (-5.41%)      | 65.52% (+2.70%)      |
| Arena.sol                           | 42.99%               | 42.99% (0.00%)       | 42.99% (0.00%)       |
| AvPresale.sol                       | 32.51%               | 35.96% (+10.61%)     | 33.50% (+3.03%)      |
| BMPre_ICO.sol                       | 41.98%               | 41.98% (0.00%)       | 43.21% (+2.94%)      |
| Bagholder.sol                       | 23.41%               | 28.57% (+22.03%)     | 29.37% (+25.42%)     |
| Bank_With_Interest.sol              | 55.66%               | 53.77% (-3.39%)      | 50.00% (-10.17%)     |
| Best_Bank_with_Interest.sol         | 51.52%               | 54.55% (+5.88%)      | 59.60% (+15.69%)     |
| BlockHashRNGFallback.sol            | 63.46%               | 59.62% (-6.06%)      | 75.00% (+18.18%)     |
| Bob.sol                             | 17.44%               | 17.44% (0.00%)       | 17.44% (0.00%)       |
| Bombs.sol                           | 28.83%               | 28.83% (0.00%)       | 28.83% (0.00%)       |
| BrandContest.sol                    | 17.00%               | 17.00% (0.00%)       | 17.00% (0.00%)       |
| CHEXToken.sol                       | 29.11%               | 28.69% (-1.45%)      | 26.16% (-10.14%)     |
| CSSPresale.sol                      | 36.72%               | 35.03% (-4.62%)      | 38.98% (+6.15%)      |
