

MAX COVERAGE RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
| CryptoGoldStandardCoin.sol          | 34.20%               | 33.77% (-1.27%)      | 33.77% (-1.27%)      |
| CryptoPoosToken.sol                 | 16.67%               | 16.67% (0.00%)       | 16.98% (+1.89%)      |
| DIVXToken.sol                       | 23.69%               | 25.09% (+5.88%)      | 25.09% (+5.88%)      |
| DecentralandBuyer.sol               | 54.68%               | 54.68% (0.00%)       | 51.80% (-5.26%)      |
| DeveryFUND.sol                      | 37.87%               | 37.87% (0.00%)       | 37.87% (0.00%)       |
| Dil.sol                             | 35.44%               | 35.44% (0.00%)       | 35.44% (0.00%)       |
| EmojisanAuctionHouse.sol            | 25.25%               | 25.25% (0.00%)       | 25.25% (0.00%)       |
| EmojisanMarketplace.sol             | 24.76%               | 24.76% (0.00%)       | 24.76% (0.00%)       |
| EtchReward.sol                      | 41.18%               | 41.18% (0.00%)       | 41.18% (0.00%)       |
| EthMash.sol                         | 44.04%               | 44.04% (0.00%)       | 44.04% (0.00%)       |
| EthMashChain.sol                    | 51.39%               | 51.39% (0.00%)       | 51.39% (0.00%)       |
| EthMashMount.sol                    | 49.35%               | 49.35% (0.00%)       | 49.35% (0.00%)       |
| EthMashTower.sol                    | 39.29%               | 39.29% (0.00%)       | 39.29% (0.00%)       |
| EtherTool.sol                       | 40.29%               | 40.29% (0.00%)       | 40.29% (0.00%)       |
| FidgETHSpinner.sol                  | 60.50%               | 60.50% (0.00%)       | 60.50% (0.00%)       |
| FipsNotary.sol                      | 44.62%               | 43.85% (-1.72%)      | 44.62% (0.00%)       |
| GPSPresale.sol                      | 39.46%               | 39.46% (0.00%)       | 39.46% (0.00%)       |
| HashBet.sol                         | 52.17%               | 52.17% (0.00%)       | 52.17% (0.00%)       |
| HodlBox.sol                         | 64.41%               | 64.41% (0.00%)       | 64.41% (0.00%)       |
| KeberuntunganAcak.sol               | 40.00%               | 40.00% (0.00%)       | 40.00% (0.00%)       |
| KiddyToys.sol                       | 16.44%               | 16.44% (0.00%)       | 16.44% (0.00%)       |
| LINKFund.sol                        | 74.19%               | 74.19% (0.00%)       | 74.19% (0.00%)       |
| LeanFund.sol                        | 58.78%               | 58.78% (0.00%)       | 58.78% (0.00%)       |
| MUSCToken.sol                       | 30.98%               | 30.98% (0.00%)       | 30.98% (0.00%)       |
| MarketPrice.sol                     | 48.00%               | 45.60% (-5.00%)      | 50.40% (+5.00%)      |
| Matthew.sol                         | 71.43%               | 71.43% (0.00%)       | 71.43% (0.00%)       |
| MoacToken.sol                       | 27.64%               | 27.02% (-2.25%)      | 25.78% (-6.74%)      |
| NFTHouseGame.sol                    | 9.95%                | 9.95% (0.00%)        | 9.95% (0.00%)        |
| NatCoinCrowdsale.sol                | 37.71%               | 33.47% (-11.24%)     | 38.14% (+1.12%)      |
| OurRoulette.sol                     | 19.62%               | 19.62% (0.00%)       | 19.62% (0.00%)       |
| P2PFuturesTrading.sol               | 31.11%               | 31.11% (0.00%)       | 31.11% (0.00%)       |
| PIGGY_BANK.sol                      | 86.49%               | 64.86% (-25.00%)     | 83.78% (-3.13%)      |
| PreAdsMobileToken.sol               | 35.98%               | 35.15% (-2.33%)      | 33.89% (-5.81%)      |
| PreIcoCrowdsale.sol                 | 47.44%               | 47.44% (0.00%)       | 47.44% (0.00%)       |
| Profit1000.sol                      | 30.67%               | 32.91% (+7.29%)      | 29.71% (-3.13%)      |
| RandoCoin.sol                       | 25.12%               | 27.44% (+9.26%)      | 27.44% (+9.26%)      |
| Remittance.sol                      | 21.88%               | 21.88% (0.00%)       | 21.88% (0.00%)       |
| SCCsale.sol                         | 49.71%               | 49.71% (0.00%)       | 49.71% (0.00%)       |
| STRIMToken.sol                      | 26.33%               | 26.92% (+2.25%)      | 27.51% (+4.49%)      |
| Sacrific3d.sol                      | 43.90%               | 43.90% (0.00%)       | 43.90% (0.00%)       |
| SaintArnouldToken.sol               | 55.12%               | 55.12% (0.00%)       | 55.12% (0.00%)       |
| SatoshiDice.sol                     | 48.53%               | 48.53% (0.00%)       | 48.53% (0.00%)       |
| SingularityTest20.sol               | 50.55%               | 50.55% (0.00%)       | 50.55% (0.00%)       |
| SmartBillions.sol                   | 11.86%               | 12.04% (+1.49%)      | 11.86% (0.00%)       |
| TheNextBlock.sol                    | 46.67%               | 46.67% (0.00%)       | 46.67% (0.00%)       |
| TheOneToken.sol                     | 48.86%               | 48.86% (0.00%)       | 48.86% (0.00%)       |
| TrustBet.sol                        | 44.12%               | 44.12% (0.00%)       | 44.12% (0.00%)       |
| TwentyDollars.sol                   | 62.22%               | 62.22% (0.00%)       | 62.22% (0.00%)       |
| WolkToken.sol                       | 20.99%               | 20.99% (0.00%)       | 20.99% (0.00%)       |
| XCTCrowdSale.sol                    | 77.19%               | 77.19% (0.00%)       | 77.19% (0.00%)       |
| XG4KCrowdFunding.sol                | 44.12%               | 44.12% (0.00%)       | 44.12% (0.00%)       |
| eth666.sol                          | 46.67%               | 45.71% (-2.04%)      | 49.52% (+6.12%)      |
| Forwarder.sol                       | 76.74%               | 81.40% (+6.06%)      | 74.42% (-3.03%)      |
| FunFairSale.sol                     | 74.29%               | 73.33% (-1.28%)      | 69.52% (-6.41%)      |
| InkPublicPresale.sol                | 22.90%               | 22.32% (-2.53%)      | 21.74% (-5.06%)      |
| LZLCoin.sol                         | 55.46%               | 47.90% (-13.64%)     | 49.58% (-10.61%)     |
| Payee.sol                           | 72.00%               | 82.67% (+14.81%)     | 80.00% (+11.11%)     |
| PowerCoin.sol                       | 51.69%               | 42.37% (-18.03%)     | 50.00% (-3.28%)      |
| PrivateBank.sol                     | 62.86%               | 82.86% (+31.82%)     | 82.86% (+31.82%)     |
| PrivateDeposit.sol                  | 64.58%               | 77.08% (+19.35%)     | 75.00% (+16.13%)     |
| Private_Bank.sol                    | 62.86%               | 82.86% (+31.82%)     | 82.86% (+31.82%)     |
| ProxyCreationAndExecute.sol         | 27.30%               | 22.86% (-16.28%)     | 31.11% (+13.95%)     |
| AcjCrowdsale.sol                    | 23.27%               | 24.38% (+4.76%)      | 23.82% (+2.38%)      |
| AmbrosusSale.sol                    | 24.34%               | 27.57% (+13.25%)     | 27.86% (+14.46%)     |
| AngelCentralBank.sol                | 23.88%               | 23.88% (0.00%)       | 23.88% (0.00%)       |
| AtomicSwap.sol                      | 60.29%               | 58.82% (-2.44%)      | 44.12% (-26.83%)     |
| BBDExchange.sol                     | 40.39%               | 39.90% (-1.22%)      | 38.42% (-4.88%)      |
| BLOCKCHAIN_DEPOSIT_BETA.sol         | 76.92%               | 76.92% (0.00%)       | 76.92% (0.00%)       |
| BRANDCOIN.sol                       | 23.72%               | 22.64% (-4.55%)      | 22.91% (-3.41%)      |
| BeatOrgTokenMainSale.sol            | 73.53%               | 73.53% (0.00%)       | 73.53% (0.00%)       |
| BetterAuction.sol                   | 56.00%               | 56.00% (0.00%)       | 56.00% (0.00%)       |
| BillPokerPreICO.sol                 | 30.74%               | 27.92% (-9.20%)      | 31.45% (+2.30%)      |
| Billiontix.sol                      | N/A                  | N/A                  | N/A                  |
| BitGallery.sol                      | 12.99%               | 10.52% (-19.05%)     | 11.96% (-7.94%)      |
| BitkomSale.sol                      | 34.93%               | 34.93% (0.00%)       | 34.93% (0.00%)       |
| BizPyramid.sol                      | 33.06%               | 33.06% (0.00%)       | 33.06% (0.00%)       |
| BlockFoodPreSale.sol                | 19.84%               | 19.84% (0.00%)       | 19.84% (0.00%)       |
| Bounty0xPresale.sol                 | 51.03%               | 51.03% (0.00%)       | 51.03% (0.00%)       |
| BriskCoin.sol                       | 35.35%               | 35.35% (0.00%)       | 35.35% (0.00%)       |
| BsPresale.sol                       | 19.45%               | 17.62% (-9.41%)      | 19.91% (+2.35%)      |
| CTCToken.sol                        | 15.31%               | 16.24% (+6.06%)      | 16.24% (+6.06%)      |
| CTNTokenSale.sol                    | 38.89%               | 37.88% (-2.60%)      | 37.88% (-2.60%)      |
| CTV.sol                             | 16.60%               | 16.60% (0.00%)       | 16.80% (+1.23%)      |
| Cajutel.sol                         | 23.61%               | 22.50% (-4.71%)      | 21.39% (-9.41%)      |
| CandyClaim.sol                      | 27.37%               | 27.37% (0.00%)       | 27.37% (0.00%)       |
| CandySale.sol                       | 56.20%               | 56.20% (0.00%)       | 57.02% (+1.47%)      |
| CashPokerProICO.sol                 | 30.04%               | 29.33% (-2.35%)      | 27.92% (-7.06%)      |
| CccTokenIco.sol                     | 15.60%               | 16.21% (+3.92%)      | 16.21% (+3.92%)      |
| ChangeableRateCrowdsale.sol         | 28.85%               | 29.81% (+3.33%)      | 28.53% (-1.11%)      |
| ChrisCoin.sol                       | 35.81%               | 36.24% (+1.22%)      | 36.24% (+1.22%)      |
| ChristmasClub.sol                   | 77.78%               | 77.78% (0.00%)       | 77.78% (0.00%)       |
| ChronosCore.sol                     | 25.29%               | 25.29% (0.00%)       | 21.80% (-13.79%)     |
| ClaimableCrowdsale.sol              | 26.86%               | 31.10% (+15.79%)     | 28.98% (+7.89%)      |
| CoinCrowdICO.sol                    | 31.15%               | 32.31% (+3.70%)      | 31.15% (0.00%)       |
| Countdown.sol                       | 46.43%               | 46.43% (0.00%)       | 46.43% (0.00%)       |
| CrowdSaleTRH.sol                    | 62.30%               | 65.57% (+5.26%)      | 64.75% (+3.95%)      |
| CrowdsalePre.sol                    | 34.94%               | 33.65% (-3.67%)      | 33.33% (-4.59%)      |
| CryptoCarsRent.sol                  | 13.78%               | 13.78% (0.00%)       | 13.78% (0.00%)       |
| DEEX.sol                            | 25.60%               | 25.87% (+1.04%)      | 24.00% (-6.25%)      |
| DYLC_ERC20Token.sol                 | 35.66%               | 33.82% (-5.15%)      | 34.56% (-3.09%)      |
| Dividend.sol                        | 73.08%               | 73.08% (0.00%)       | 73.08% (0.00%)       |
| DropletCrowdSale.sol                | 29.01%               | 30.72% (+5.88%)      | 26.96% (-7.06%)      |
| ECHO.sol                            | 22.28%               | 19.02% (-14.63%)     | 20.65% (-7.32%)      |
| ECT2Crowdsale2.sol                  | 65.87%               | 65.87% (0.00%)       | 65.87% (0.00%)       |
| ElecSaleSmartContract.sol           | 31.71%               | 31.30% (-1.28%)      | 31.71% (0.00%)       |
| ElectionsMarketSavingsBank.sol      | N/A                  | N/A                  | N/A                  |
| EosPizzaSliceDonationraiser.sol     | 28.06%               | 26.26% (-6.41%)      | 28.78% (+2.56%)      |
| EternalWealth.sol                   | 40.00%               | 40.00% (0.00%)       | 40.00% (0.00%)       |
| EthBird.sol                         | 54.10%               | 54.10% (0.00%)       | 54.10% (0.00%)       |
| EthCapsule.sol                      | 40.35%               | 40.35% (0.00%)       | 40.35% (0.00%)       |
| EthTermDeposits.sol                 | 66.67%               | 66.67% (0.00%)       | 66.67% (0.00%)       |
| EtherGuess.sol                      | 30.80%               | 32.91% (+6.85%)      | 28.69% (-6.85%)      |
| EthereumHole.sol                    | 47.62%               | 47.62% (0.00%)       | 47.62% (0.00%)       |
| FabricTokenFundraiser.sol           | 27.92%               | 26.86% (-3.80%)      | 26.86% (-3.80%)      |
| ForecasterReward.sol                | 66.42%               | 57.46% (-13.48%)     | 66.42% (0.00%)       |
| Freeze.sol                          | 43.64%               | 43.64% (0.00%)       | 43.64% (0.00%)       |
| Gelios.sol                          | 26.04%               | 26.04% (0.00%)       | 26.04% (0.00%)       |
| GraphenePowerToken.sol              | 23.97%               | 26.03% (+8.62%)      | 26.03% (+8.62%)      |
| HODLerParadise.sol                  | 33.33%               | 34.92% (+4.76%)      | 34.92% (+4.76%)      |
| HYIP.sol                            | 52.70%               | 52.70% (0.00%)       | 52.70% (0.00%)       |
| HodlContract.sol                    | 46.15%               | 46.15% (0.00%)       | 46.15% (0.00%)       |
| HodlerInvestmentClub.sol            | 79.55%               | 79.55% (0.00%)       | 79.55% (0.00%)       |
| HolyCoin.sol                        | 46.33%               | 45.76% (-1.22%)      | 46.89% (+1.22%)      |
| IAHCToken.sol                       | 30.74%               | 31.80% (+3.45%)      | 30.74% (0.00%)       |
| IQNCrowdsale.sol                    | 56.30%               | 60.00% (+6.58%)      | 57.78% (+2.63%)      |
| IQNSecondPreICO.sol                 | 75.90%               | 81.93% (+7.94%)      | 80.72% (+6.35%)      |
| IndaHashToken.sol                   | 17.52%               | 18.74% (+6.98%)      | 17.11% (-2.33%)      |
| IntermediateVault.sol               | 45.16%               | 45.16% (0.00%)       | 45.16% (0.00%)       |
| IungoPresale.sol                    | 35.61%               | 35.61% (0.00%)       | 35.61% (0.00%)       |
