NUMBER-DEPENDENCY RESULTS


MAX COVERAGE RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
| Sacrific3d.sol                      | 11.27%               | 11.68% (+3.60%)      | 11.66% (+3.47%)      |
| SaintArnouldToken.sol               | 13.70%               | 13.45% (-1.83%)      | 13.88% (+1.29%)      |
| SatoshiDice.sol                     | 18.40%               | 18.70% (+1.60%)      | 18.39% (-0.08%)      |
| SingularityTest20.sol               | 13.90%               | 14.51% (+4.37%)      | 14.46% (+4.02%)      |
| SmartBillions.sol                   | 3.85%                | 3.81% (-0.81%)       | 3.83% (-0.49%)       |
| TheNextBlock.sol                    | 8.64%                | 8.39% (-2.90%)       | 8.94% (+3.47%)       |
| TheOneToken.sol                     | 9.71%                | 9.38% (-3.39%)       | 9.41% (-3.07%)       |
| TrustBet.sol                        | 16.54%               | 16.36% (-1.07%)      | 16.68% (+0.86%)      |
| TwentyDollars.sol                   | 13.20%               | 12.86% (-2.61%)      | 13.21% (+0.04%)      |
| WolkToken.sol                       | 7.49%                | 7.24% (-3.30%)       | 7.35% (-1.77%)       |
| XCTCrowdSale.sol                    | 16.01%               | 15.03% (-6.14%)      | 16.02% (+0.05%)      |
| XG4KCrowdFunding.sol                | 21.71%               | 23.38% (+7.69%)      | 22.58% (+3.99%)      |
| eth666.sol                          | 10.98%               | 12.07% (+9.99%)      | 12.08% (+10.01%)     |
------------------------------------------------------------------------------------------------------------
| AVERAGE                             | 11.71%               | 11.71% (-0.03%)      | 11.72% (+0.06%)      |
------------------------------------------------------------------------------------------------------------


DETAILED CRITICAL INSTRUCTIONS HITS RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
------------------------------------------------------------------------------------------------------------
| CALL                                | 2240.00              | 2146.00 (-4.20%)     | 2061.00 (-7.99%)     |
| SELFDESCTRUCT                       | 0.00                 | 0.00 (0.00%)         | 0.00 (0.00%)         |
| CALLCODE                            | 0.00                 | 0.00 (0.00%)         | 0.00 (0.00%)         |
| DELEGATECALL                        | 43.00                | 62.00 (+44.19%)      | 44.00 (+2.33%)       |
------------------------------------------------------------------------------------------------------------
| AVERAGE                             | 570.75               | 552.00 (-3.29%)      | 526.25 (-7.80%)      |
------------------------------------------------------------------------------------------------------------


VULNERABILITIES RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
------------------------------------------------------------------------------------------------------------
| number-dependency                   | 7.04%                | 11.27% (+60.00%)     | 11.27% (+60.00%)     |
------------------------------------------------------------------------------------------------------------
